Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 688----------------------------------------
0.308576;-0.0869024;-1.15019
0.308576;-0.0868024;-1.15018
0.308576;-0.0867024;-1.15018
0.308576;-0.0866024;-1.15017
0.308576;-0.0865024;-1.15017
0.308576;-0.0864023;-1.15016
0.308576;-0.0863023;-1.15036
0.308576;-0.0862023;-1.15035
0.308576;-0.0861023;-1.15034
0.308576;-0.0860023;-1.15033
0.308576;-0.0859023;-1.15033
0.308576;-0.0858023;-1.15032
0.308576;-0.0857023;-1.15031
0.308576;-0.0856023;-1.1503
0.308576;-0.0855023;-1.1503
0.308576;-0.0854023;-1.15029
0.308576;-0.0853023;-1.15028
0.308576;-0.0852023;-1.15027
0.308576;-0.0851023;-1.15027
0.308576;-0.0850023;-1.15026
0.308576;-0.0849024;-1.1502
0.308576;-0.0848024;-1.15024
0.308576;-0.0847024;-1.15024
0.308576;-0.0846023;-1.15023
0.308576;-0.0845023;-1.15022
0.308576;-0.0844023;-1.15021
0.308576;-0.0843023;-1.15021
0.308576;-0.0842023;-1.1502
0.308576;-0.0841023;-1.15019
0.308576;-0.0840023;-1.15018
0.308576;-0.0839023;-1.15018
0.308576;-0.0838023;-1.15017
0.308576;-0.0837023;-1.15016
0.308576;-0.0836023;-1.15015
0.308576;-0.0835023;-1.15015
0.308576;-0.0834023;-1.15014
0.308576;-0.0833023;-1.15013
0.308576;-0.0832023;-1.15012
0.308576;-0.0831023;-1.15012
0.308576;-0.0830024;-1.15023
0.308576;-0.0829024;-1.15022
0.308576;-0.0828024;-1.15021
0.308576;-0.0827024;-1.1502
0.308576;-0.0826024;-1.1502
0.308576;-0.0825024;-1.15003
0.308576;-0.0824023;-1.15002
0.308576;-0.0823023;-1.15002
0.308576;-0.0822023;-1.15001
0.308576;-0.0821023;-1.15
0.308576;-0.0820023;-1.15
0.308576;-0.0819023;-1.14999
0.308576;-0.0818023;-1.14998
0.308576;-0.0817023;-1.14997
0.308576;-0.0816023;-1.14997
0.308576;-0.0815023;-1.14996
0.308576;-0.0814023;-1.14995
0.308576;-0.0813023;-1.14995
0.308576;-0.0812023;-1.14994
0.308576;-0.0811023;-1.14993
0.308576;-0.0810024;-1.14942
0.308576;-0.0809024;-1.14942
0.308576;-0.0808024;-1.14942
0.308576;-0.0807023;-1.14942
0.308576;-0.0806023;-1.14942
0.308576;-0.0805023;-1.14941
0.308576;-0.0804023;-1.14941
0.308576;-0.0803023;-1.14929
0.308576;-0.0802023;-1.14929
0.308576;-0.0801023;-1.14929
0.308576;-0.0800023;-1.14929
0.308576;-0.0799023;-1.14929
0.308576;-0.0798023;-1.14928
0.308576;-0.0797023;-1.14928
0.308576;-0.0796023;-1.14928
0.308576;-0.0795023;-1.14928
0.308576;-0.0794023;-1.14928
0.308576;-0.0793023;-1.14927
0.308576;-0.0792023;-1.14927
0.308576;-0.0791023;-1.14927
0.308576;-0.0790024;-1.14889
0.308576;-0.0789024;-1.14889
0.308576;-0.0788024;-1.1489
0.308576;-0.0787024;-1.1489
0.308576;-0.0786024;-1.14891
0.308576;-0.0785023;-1.14886
0.308576;-0.0784023;-1.14887
0.308576;-0.0783023;-1.14887
0.308576;-0.0782023;-1.14887
0.308576;-0.0781023;-1.14888
0.308576;-0.0780023;-1.14888
0.308576;-0.0779023;-1.14888
0.308576;-0.0778023;-1.14889
0.308576;-0.0777023;-1.14889
0.308576;-0.0776023;-1.1489
0.308576;-0.0775023;-1.1489
0.308576;-0.0774023;-1.1489
0.308576;-0.0773023;-1.14891
0.308576;-0.0772023;-1.14891
0.308576;-0.0771024;-1.14922
0.308576;-0.0770024;-1.14922
0.308576;-0.0769024;-1.14923
0.308576;-0.0768024;-1.14923
0.308576;-0.0767023;-1.14919
0.308576;-0.0766023;-1.1492
0.308576;-0.0765023;-1.1492
0.308576;-0.0764023;-1.1492
0.308576;-0.0763023;-1.1492
0.308576;-0.0762023;-1.1492
0.308576;-0.0761023;-1.1492
0.308576;-0.0760023;-1.1492
0.308576;-0.0759023;-1.1492
0.308576;-0.0758023;-1.1492
0.308576;-0.0757023;-1.1492
0.308576;-0.0756023;-1.1492
0.308576;-0.0755023;-1.1492
0.308576;-0.0754023;-1.14921
0.308576;-0.0753023;-1.14921
0.308576;-0.0752023;-1.14921
0.308576;-0.0751024;-1.14923
0.308576;-0.0750024;-1.14923
0.308576;-0.0749024;-1.14924
0.308576;-0.0748024;-1.14924
0.308576;-0.0747024;-1.14917
0.308576;-0.0746024;-1.14917
0.308576;-0.0745023;-1.14917
0.308576;-0.0744023;-1.14917
0.308576;-0.0743023;-1.14918
0.308576;-0.0742023;-1.14918
0.308576;-0.0741023;-1.14918
0.308576;-0.0740023;-1.14918
0.308576;-0.0739023;-1.14918
0.308576;-0.0738023;-1.14918
0.308576;-0.0737023;-1.14918
0.308576;-0.0736023;-1.14918
0.308576;-0.0735023;-1.14918
0.308576;-0.0734023;-1.14919
0.308576;-0.0733023;-1.14919
0.308577;-0.0732024;-1.14903
0.308577;-0.0731024;-1.14903
0.308577;-0.0730024;-1.14903
0.308577;-0.0729024;-1.14889
0.308577;-0.0728023;-1.14889
0.308577;-0.0727023;-1.1489
0.308577;-0.0726023;-1.1489
0.308577;-0.0725023;-1.14891
0.308577;-0.0724023;-1.14891
0.308577;-0.0723023;-1.14892
0.308576;-0.0722023;-1.1489
0.308576;-0.0721023;-1.1489
0.308576;-0.0720023;-1.14891
0.308576;-0.0719023;-1.14891
0.308576;-0.0718023;-1.14892
0.308576;-0.0717023;-1.14893
0.308576;-0.0716023;-1.14893
0.308576;-0.0715023;-1.14894
0.308576;-0.0714023;-1.14894
0.308576;-0.0713023;-1.14895
0.308576;-0.0712024;-1.14867
0.308576;-0.0711024;-1.14868
0.308576;-0.0710023;-1.14899
0.308576;-0.0709023;-1.149
0.308576;-0.0708023;-1.149
0.308576;-0.0707023;-1.14901
0.308576;-0.0706023;-1.14901
0.308576;-0.0705023;-1.14902
0.308576;-0.0704023;-1.14902
0.308576;-0.0703023;-1.14903
0.308576;-0.0702023;-1.14903
0.308576;-0.0701023;-1.14904
0.308576;-0.0700023;-1.14905
0.308576;-0.0699023;-1.14905
0.308576;-0.0698023;-1.14906
0.308576;-0.0697023;-1.14906
0.308576;-0.0696023;-1.14907
0.308576;-0.0695023;-1.14907
0.308576;-0.0694023;-1.14908
0.308576;-0.0693024;-1.14895
0.308576;-0.0692024;-1.14896
0.308576;-0.0691024;-1.14896
0.308576;-0.0690024;-1.14897
0.308576;-0.0689024;-1.14898
0.308576;-0.0688023;-1.14898
0.308576;-0.0687023;-1.14908
0.308576;-0.0686023;-1.14909
0.308576;-0.0685023;-1.1491
0.308576;-0.0684023;-1.1491
0.308576;-0.0683023;-1.14911
0.308576;-0.0682023;-1.14912
0.308576;-0.0681023;-1.14912
0.308576;-0.0680023;-1.14913
0.308576;-0.0679023;-1.14913
0.308576;-0.0678023;-1.14914
0.308576;-0.0677023;-1.14915
0.308576;-0.0676023;-1.14915
0.308576;-0.0675023;-1.14916
0.308576;-0.0674023;-1.14917
0.308576;-0.0673024;-1.14877
0.308576;-0.0672024;-1.14878
0.308576;-0.0671024;-1.14879
0.308576;-0.0670023;-1.1488
0.308576;-0.0669023;-1.14881
0.308576;-0.0668023;-1.14882
0.308576;-0.0667023;-1.14883
0.308576;-0.0666023;-1.14884
0.308576;-0.0665023;-1.14914
0.308576;-0.0664023;-1.14915
0.308576;-0.0663023;-1.14915
0.308576;-0.0662023;-1.14916
0.308576;-0.0661023;-1.14917
0.308576;-0.0660023;-1.14918
0.308576;-0.0659023;-1.14918
0.308576;-0.0658023;-1.14919
0.308576;-0.0657023;-1.1492
0.308576;-0.0656023;-1.14921
0.308576;-0.0655023;-1.14921
0.308576;-0.0654024;-1.14922
0.308576;-0.0653024;-1.14923
0.308576;-0.0652024;-1.14924
0.308576;-0.0651024;-1.14924
0.308576;-0.0650024;-1.14925
0.308576;-0.0649024;-1.14926
0.308576;-0.0648023;-1.14927
0.308576;-0.0647023;-1.14927
0.308576;-0.0646023;-1.14928
0.308576;-0.0645023;-1.14929
0.308576;-0.0644023;-1.14906
0.308576;-0.0643023;-1.14907
0.308576;-0.0642023;-1.14908
0.308576;-0.0641023;-1.14909
0.308576;-0.0640023;-1.1491
0.308576;-0.0639023;-1.14911
0.308576;-0.0638023;-1.14912
0.308576;-0.0637023;-1.14913
0.308576;-0.0636023;-1.14914
0.308576;-0.0635023;-1.14915
0.308576;-0.0634024;-1.14973
0.308576;-0.0633024;-1.14974
0.308576;-0.0632024;-1.14974
0.308576;-0.0631023;-1.14975
0.308576;-0.0630023;-1.14975
0.308576;-0.0629023;-1.14975
0.308576;-0.0628023;-1.14976
0.308576;-0.0627023;-1.14976
0.308576;-0.0626023;-1.14976
0.308576;-0.0625023;-1.14971
0.308576;-0.0624023;-1.14972
0.308576;-0.0623023;-1.14972
