Horizont number: 0; Number of points: 0----------------------------------------
Horizont number: 1; Number of points: 2820----------------------------------------
0.445702;0.0430018;-0.990271
0.445702;0.0430018;-0.990271
0.445702;0.0430018;-0.990271
0.445702;0.0431019;-0.990233
0.445702;0.0431019;-0.990233
0.445702;0.0431019;-0.990233
0.445702;0.0432019;-0.990195
0.445702;0.0432019;-0.990195
0.445702;0.0432019;-0.990195
0.445702;0.0433019;-0.990157
0.445702;0.0433019;-0.990157
0.445702;0.0433019;-0.990157
0.445702;0.0434019;-0.990119
0.445702;0.0434019;-0.990119
0.445702;0.0434019;-0.990119
0.445702;0.0435019;-0.990081
0.445702;0.0435019;-0.990081
0.445702;0.0435019;-0.990081
0.445702;0.0436019;-0.990043
0.445702;0.0436019;-0.990043
0.445702;0.0436019;-0.990043
0.445702;0.0437019;-0.990005
0.445702;0.0437019;-0.990005
0.445702;0.0437019;-0.990005
0.445702;0.0438019;-0.989968
0.445702;0.0438019;-0.989968
0.445702;0.0438019;-0.989968
0.445702;0.0439019;-0.98993
0.445702;0.0439019;-0.98993
0.445702;0.0439019;-0.98993
0.445702;0.0440019;-0.989892
0.445702;0.0440019;-0.989892
0.445702;0.0440019;-0.989892
0.445702;0.0441019;-0.989854
0.445702;0.0441019;-0.989854
0.445702;0.0441019;-0.989854
0.445702;0.0442019;-0.989816
0.445702;0.0442019;-0.989816
0.445702;0.0442019;-0.989816
0.445702;0.0443019;-0.989778
0.445702;0.0443019;-0.989778
0.445702;0.0443019;-0.989778
0.445702;0.0444019;-0.98974
0.445702;0.0444019;-0.98974
0.445702;0.0444019;-0.98974
0.445702;0.0445019;-0.989702
0.445702;0.0445019;-0.989702
0.445702;0.0445019;-0.989702
0.445702;0.0446019;-0.989664
0.445702;0.0446019;-0.989664
0.445702;0.0446019;-0.989664
0.445702;0.0447019;-0.989666
0.445702;0.0447019;-0.989666
0.445702;0.0447019;-0.989666
0.445702;0.0448019;-0.98963
0.445702;0.0448019;-0.98963
0.445702;0.0448019;-0.98963
0.445702;0.0449019;-0.989593
0.445702;0.0449019;-0.989593
0.445702;0.0449019;-0.989593
0.445702;0.0450019;-0.989557
0.445702;0.0450019;-0.989557
0.445702;0.0450019;-0.989557
0.445702;0.0451019;-0.98952
0.445702;0.0451019;-0.98952
0.445702;0.0451019;-0.98952
0.445702;0.0452019;-0.989484
0.445702;0.0452019;-0.989484
0.445702;0.0452019;-0.989484
0.445702;0.0453019;-0.989447
0.445702;0.0453019;-0.989447
0.445702;0.0453019;-0.989447
0.445702;0.0454019;-0.989411
0.445702;0.0454019;-0.989411
0.445702;0.0454019;-0.989411
0.445702;0.0455019;-0.989374
0.445702;0.0455019;-0.989374
0.445702;0.0455019;-0.989374
0.445702;0.0456018;-0.989286
0.445702;0.0456018;-0.989286
0.445702;0.0456018;-0.989286
0.445702;0.0457019;-0.989248
0.445702;0.0457019;-0.989248
0.445702;0.0457019;-0.989248
